City,State,Number of Civilian Fatalities,Number of Civilian Injured,Number of Enforcement Fatalities,Number of Enforcement Injured,Total Number of Fatalities,Total Number of Victims,Date,Day of Week,Number of shooters,Average Shooter Age,Shooter Sex,Shooter Race,Type of Gun - General,Number of Shotguns,Number of Rifles,Number of Handguns,Total Number of Guns,Number of Automatic Guns,Number of Semi-Automatic Guns,Fate of Shooter at the scene,Fate of Shooter,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s - General,Possible Motive - General,History of Mental Illness - General,Military Experience,Class,LABEL
Austin,Texas,15,32,1,0,16,48,8/1/66,Monday,1,25,Male,White American or European American,Multiple guns,1,3,3,7,0,1,Deceased,Deceased,Killed,Yes,College/University/Adult education,Place of schooling,General public,Mental illness,Yes,Yes,SPK,1
Mesa,Arizona,5,1,0,0,5,6,11/12/66,Saturday,1,18,Male,White American or European American,Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,College/University/Adult education,None,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,1
New Orleans,Louisiana,4,8,5,5,10,22,12/31/72,Sunday,1,23,Male,Black American or African American,Multiple guns,0,1,1,2,0,1,Deceased,Deceased,Killed,No,Government facility,Local government,Government,Race,Yes,Unknown,SPK,1
Chicago,Illinois,1,3,0,0,1,4,1/17/74,Thursday,1,14,Male,Unknown,Handgun,0,0,2,2,0,0,Custody,Custody,Not applicable,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,Yes,Unknown,MS,0
Olean,New York,3,7,0,0,3,10,12/30/74,Monday,1,17,Male,White American or European American,Multiple guns,1,1,0,2,0,0,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,General public,Mental illness,No,Unknown,MS,1
Los Angeles,California,1,6,1,0,1,8,2/19/76,Thursday,1,18,Male,White American or European American,Shotgun,1,0,0,1,0,0,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Social dispute,Unknown,Unknown,MS,1
Fullerton,California,7,2,0,0,7,9,7/12/76,Monday,1,37,Male,White American or European American,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown,MS,1
San Diego,California,2,8,0,1,2,11,1/29/79,Monday,1,16,Female,White American or European American,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,Yes,Primary school,Place of residency,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,1
Columbia,South Carolina,2,5,0,0,2,7,10/6/79,Saturday,1,19,Male,Black American or African American,Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Unknown,Unknown,Unknown,MS,1
Las Vegas,Nevada,1,2,0,0,1,3,3/19/82,Friday,1,17,Male,White American or European American,Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,Unknown,MS,0
