00) Zip Code,01) City,02) State,03) Household median income in dollars,04) Household mean income in dollars,05) Total population 18 to 24 years,06) Percentage of 05) less than high school,07) Percentage of 05) high school,08) Percentage of 05) some college,09) Percentage of 05) bachelor's,10) Total population 25 years and over,11) Percentage of 10)less than 9th grade,12) Percentage of 10) 9th to 12th no diploma,13) Percentage of 10) high school,14) Percentage of 10) some college,15) Percentage of 10) associate's degree,16) Percentage of 10) bachelor's,17) Percentage of 10) graduate degree,18) Total population 25 to 34 years,19) Percentage of 18) high school or higher,20) Percentage of 18) bachelor's or higher,21) Total population 35 to 44 years,22) Percentage of 21) high school or higher,23) Percentage of 21) bachelor's or higher,24) Total population 45 to 64 years,25) Percentage of 24) high school or higher,26) Percentage of 24) bachelor's or higher,27) Total population 65 and over,28) Percentage of 27) high school or higher,29) Percentage of 27) bachelor's or higher,"30) Median earnings in dollars, population 25 and over","31) Median earnings in dollars, population 25 and over less than high school","32) Median earnings in dollars, population 25 and over high school","33) Median earnings in dollars, population 25 and over some college","34) Median earnings in dollars, population 25 and over bachelor's","35) Median earnings in dollars, population 25 and over graduate degree",36) Population total,37) Population percentage: not Hispanic,38) Population percentage: not Hispanic white,39) Population percentage: not Hispanic black,40) Population percentage: not Hispanic American Indian or native,41) Population percentage: not Hispanic Asian,42) Population percentage: not Hispanic native Hawaiian or Pacific islander,43) Population percentage: not Hispanic some other race,44) Population percentage: not Hispanic two or more races,45) Population percentage: not Hispanic two or more races including some other race,46) Population percentage: not Hispanic two or more races excluding some other race,47) Population percentage: Hispanic,48) Population percentage: Hispanic white,49) Population percentage: Hispanic black,50) Population percentage: Hispanic American Indian or native,51) Population percentage: Hispanic Asian,52) Population percentage: Hispanic native Hawaiian or Pacific islander,53) Population percentage: Hispanic some other race,54) Population percentage: Hispanic two or more races,55) Population percentage: Hispanic two or more races including some other race,56) Population percentage: Hispanic two or more races excluding some other race,57) Population total,58) Population percentage: under 5 years,59) Population percentage: 5 to 9 years,60) Population percentage: 10 to 14 years,61) Population percentage: 15 to 19 years,62) Population percentage: 20 to 24 years,63) Population percentage: 25 to 29 years,64) Population percentage: 30 to 34 years,65) Population percentage: 35 to 39 years,66) Population percentage: 40 to 44 years,67) Population percentage: 45 to 49 years,68) Population percentage: 50 to 54 years,69) Population percentage: 55 to 59 years,70) Population percentage: 60 to 64 years,71) Population percentage: 65 to 69 years,72) Population percentage: 70 to 74 years,73) Population percentage: 75 to 79 years,74) Population percentage: 80 to 84 years,75) Population percentage: 85 years and over,76) Population percentage: 5 to 14 years,77) Population percentage: 15 to 17 years,78) Population percentage: 18 to 24 years,79) Population percentage: 15 to 44 years,80) Population percentage: 16 years and over,81) Population percentage: 18 years and over,82) Population percentage: 60 years and over,83) Population percentage: 62 years and over,84) Population percentage: 65 years and over,85) Population percentage: 75 years and over,86) Median age,87) Sex ratio (males per 100 females),88) Age dependency ratio,89) Old-age dependency ratio,90) Child dependency ratio,91) Licenses,92) Manufacturing,93) Gun purchases approximate,VIOLENT?
29634,CLEMSON,SC,3449,3975,5974,0,1.8,97.4,0.8,17,0,0,70.6,23.5,0,5.9,0,1,100,100,0,NaN,NaN,16,100,0,0,NaN,NaN,10938,NaN,NaN,NaN,NaN,NaN,6031,97.18123031,84.41386171,10.76106782,0,1.293317858,0,0.066323993,0.646658929,0.033161996,0.613496933,2.81876969,1.27673686,0.215552976,0,0,0,1.326479854,0,0,0,6031,0,0,0,70.3,29.4,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0.7,99.1,99.7,100,99.3,0,0,0,0,19.5,88.9,0.7,0,0.7,173,3637,253.8894164,1
71377,WILDSVILLE,LA,4441,8349,0,NaN,NaN,NaN,NaN,101,5.9,54.5,27.7,11.9,0,0,0,12,100,0,38,0,0,34,32.4,0,17,100,0,NaN,NaN,NaN,NaN,NaN,NaN,109,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,7.3,0,0,0,11,0,34.9,0,7.3,0,5.5,18.3,6.4,0,9.2,0,0,7.3,0,0,45.9,92.7,92.7,33.9,33.9,15.6,9.2,36.9,240.6,29.8,20.2,9.5,0,0,7.483464051,0
97414,BROADBENT,OR,4487,11376,53,0,0,100,0,91,0,0,56,0,0,44,0,77,100,51.9,0,NaN,NaN,14,100,0,0,NaN,NaN,9628,NaN,NaN,NaN,NaN,NaN,185,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,22.2,0,7.6,21.1,41.6,0,0,0,7.6,0,0,0,0,0,0,0,0,22.2,0,28.6,70.3,77.8,77.8,0,0,0,0,21,362.5,28.5,NaN,28.5,0,23,12.65235231,0
84112,SALT LAKE CITY,UT,4550,20885,1862,2.1,32.4,62.1,3.4,301,2.7,2.7,16.9,26.2,0,30.2,21.3,168,100,66.7,5,100,100,56,100,67.9,72,77.8,0,26146,NaN,NaN,7500,27163,45893,2226,92.13836478,69.31716083,1.752021563,1.617250674,16.84636119,0,0,2.60557053,0.224618149,2.380952381,7.86163522,4.492362983,0.404312668,0,0,0,2.201257862,0.763701707,0,0.763701707,2226,0.4,0.2,0,51.4,34.5,6.3,1.3,0.2,0,0,1.3,1.3,0,0,0,0.4,1.8,1.1,0.2,2.2,83.6,93.7,99.4,97.2,3.2,3.2,3.2,3.2,19.9,124.6,6.5,3.4,3,341,294912,72.23622906,1
86433,OATMAN,AZ,4560,16391,0,NaN,NaN,NaN,NaN,126,42.9,15.9,15.1,12.7,0,13.5,0,0,NaN,NaN,0,NaN,NaN,93,20.4,0,33,100,51.5,20737,NaN,NaN,NaN,NaN,NaN,126,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,73.8,0,12.7,13.5,0,0,0,0,0,0,0,100,100,26.2,26.2,26.2,0,57.4,250,35.5,35.5,NaN,0,1757,4.767086477,0
25203,TURTLE CREEK,WV,5652,26497,0,NaN,NaN,NaN,NaN,77,0,0,67.5,14.3,9.1,9.1,0,0,NaN,NaN,29,100,0,48,100,14.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,21.4,0,0,0,0,29.6,23.5,11.2,7.1,7.1,0,0,0,0,0,0,21.4,0,51,100,78.6,7.1,7.1,0,0,45,444.4,27.3,NaN,27.3,0,0,10.25415167,0
98859,WAUCONDA,WA,6065,9745,0,NaN,NaN,NaN,NaN,164,0,32.9,28,30.5,8.5,0,0,0,NaN,NaN,0,NaN,NaN,155,65.2,0,9,100,0,NaN,NaN,NaN,NaN,NaN,NaN,164,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,41.5,44.5,8.5,0,5.5,0,0,0,0,0,0,0,100,100,14,14,5.5,0,57.7,127.8,5.8,5.8,NaN,0,0,8.094230984,0
48411,ATLAS,MI,6250,7192,16,100,0,0,0,49,24.5,22.4,53.1,0,0,0,0,0,NaN,NaN,15,100,0,11,100,0,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN,65,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,24.6,0,0,0,23.1,0,0,0,16.9,0,0,0,0,35.4,0,0,24.6,47.7,100,100,52.3,52.3,35.4,35.4,64.1,71.1,54.8,54.8,NaN,0,126,1.734253375,0
4852,MONHEGAN,ME,6250,22248,0,NaN,NaN,NaN,NaN,34,0,0,26.5,23.5,17.6,17.6,14.7,15,100,13.3,2,100,0,10,100,90,7,100,0,16875,NaN,NaN,6591,NaN,NaN,39,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12.8,0,0,0,0,33.3,5.1,5.1,0,0,2.6,12.8,10.3,17.9,0,0,0,0,0,0,0,43.6,87.2,87.2,28.2,28.2,17.9,0,34.8,62.5,44.4,25.9,18.5,0,17,2.545999527,0
87749,UTE PARK,NM,6683,13887,0,NaN,NaN,NaN,NaN,112,0,0,0,18.8,0,81.3,0,0,NaN,NaN,0,NaN,NaN,58,100,63.8,54,100,100,NaN,NaN,NaN,NaN,NaN,NaN,112,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,33,18.8,23.2,0,0,0,25,0,0,0,0,100,100,67,67,48.2,25,63.9,128.6,93.1,93.1,NaN,0,9,6.953626273,0
